id,category,paths,weeks,question_variants,answer,escalation_trigger,escalation_text,sources,advisor_reviewed,review_due,confidence_tier,notes
LAT-001,Latch & Positioning,A|C,1-2,How do I know if my baby has a good latch?|is my baby latching correctly|how to tell if latch is good|my baby isn't latching right|how do I check the latch|is the latch deep enough|how do I know if latch is right,"A good latch starts with baby opening wide and taking in a generous mouthful of areola — more below the nipple than above. Chin touches the breast, nose is clear or barely grazing it. You'll hear rhythmic swallowing and feel strong pulling pressure, not pinching or sharp pain. Afterward, your nipple should come out round, not flat or lipstick-shaped. Some tenderness in the first 30 seconds is common as you build tolerance; pain that lasts through the whole feed is a signal to adjust and try again.",no,,ABM Protocol #2; LLLI latch guidance; Global Health Media latch video series,,,,
LAT-002,Latch & Positioning,A|C,1-2,My baby keeps unlatching — what should I do?|baby keeps pulling off breast|why does baby keep coming off nipple|baby unlatching over and over|baby won't stay on the breast|keeps breaking latch|baby keeps popping off during nursing,"Frequent unlatching in the early weeks is common, and usually points to one of a few things: letdown is too fast or too slow, baby got gassy and needs a break, or the latch slipped shallow. Offer the breast again when baby shows early hunger cues but before full crying — a frantic baby has a harder time latching. If a forceful letdown seems to be the issue, try laid-back nursing to slow the flow. Supporting your breast during feeds helps baby stay on. Persistent unlatching with poor weight gain is worth an IBCLC visit.",no,,LLLI; ABM Protocol #2,,,,
LAT-003,Latch & Positioning,A|C,1-2,What's the difference between cradle hold and football hold for nursing?|cradle hold vs football hold breastfeeding|how to do football hold nursing|which nursing hold is best|different breastfeeding positions explained|what position should I hold baby to nurse,"In the cradle hold, baby lies across your body with their head in the crook of your arm on the same side as the nursing breast. In the football hold, baby is tucked under your arm with legs pointing behind you, giving you more control of their head. Football is especially helpful for newborns, latch challenges, C-section recovery (keeps baby off the incision), or larger breasts. No single hold is best — use whatever gets you the deepest, most comfortable latch. Many moms rotate holds to drain different areas and reduce soreness.",no,,LLLI; ABM Protocol #2; Global Health Media,,,,
LAT-004,Latch & Positioning,A|C,1-2,My nipple comes out flat or lipstick-shaped after feeding — is that normal?|nipple looks squished after feeding|lipstick nipple breastfeeding|why does my nipple look flat after nursing|nipple comes out weird shape|squashed nipple after baby nurses,"A flat or lipstick-shaped nipple after feeding means baby was compressing the nipple rather than drawing in enough breast tissue. This is a latch issue, not a permanent nipple shape problem. Common causes: baby not opening wide enough, a shallow latch, or tongue tie. Try the breast sandwich technique to help baby take more tissue, or the football hold for better head control. If the areola is stiff from engorgement, reverse pressure softening before latching can help. If this happens at every feed, an IBCLC can do a real-time latch assessment.",no,,ABM Protocol #2; LLLI; ABM Protocol #29 (nipple pain),,,,
LAT-005,Latch & Positioning,A|C,1-2,How do I latch a baby with a tongue tie?|tongue tie latching help|baby has tongue tie and can't latch|tongue tied baby breastfeeding tips|how to nurse with tongue tie|tongue tie making latch impossible,"Tongue tie can make latching harder because the tongue can't fully cup the breast or extend past the lower gum. Signs it may be affecting feeding: clicking sounds during nursing, nipple pain or damage, poor milk transfer, and a baby who tires quickly. Seeing a pediatric dentist or ENT experienced in tongue ties alongside an IBCLC gives the most complete picture — functional impact varies, and not every tie needs release. In the meantime, the football hold helps, and getting as deep a latch as possible matters. After a frenotomy, post-procedure exercises and continued lactation support help re-pattern the latch.",yes,"Tongue tie significantly impacting feeding warrants evaluation by an IBCLC and a tongue tie-experienced provider (pediatric dentist or ENT). Don't delay — the sooner it's identified, the less supply impact you'll see.",ABM Protocol #11 (ankyloglossia); LLLI,,,,
LAT-006,Latch & Positioning,A|C,1-2,My baby bobs and fusses at the breast — what does that mean?|baby shaking head at breast|baby frustrated at breast won't latch|why does baby keep pulling away and crying|baby head bobbing at nipple|baby gets mad at the breast|baby thrashing at breast,"Bobbing and fussing at the breast typically happens at one of two moments: before letdown when baby is waiting for milk to flow, or during a fast letdown when milk comes faster than baby can swallow. For a slow letdown, breast massage or gentle compressions before latching can help. For fast letdown, try reclined nursing — leaning back at about 45 degrees slows the flow. Fussing can also signal a growth spurt, gas, or nipple preference if bottles have been introduced. Consistent one-sided refusal is worth mentioning to a pediatrician.",no,,LLLI; ABM Protocol #2,,,,
LAT-007,Latch & Positioning,A|C,3-4,How do I nurse lying down for nighttime feedings?|side lying nursing position|nursing in bed how to do it|how to breastfeed lying down|breastfeed at night without sitting up|side nursing position help,"Side-lying nursing can make nighttime feeds much easier on your body. Lie on your side with baby facing you tummy-to-tummy, nose level with your nipple. Support your lower breast from underneath and let baby latch. A pillow between your knees helps with hip comfort. One important note: if there's a chance you might fall into a deep sleep, move baby to their own firm flat surface first. The AAP recommends infants sleep on a separate safe sleep surface. Many moms doze lightly through side-lying feeds — moving baby before deep sleep is the key safety step.",no,,LLLI side-lying guide; AAP safe sleep guidelines,,,,
LAT-008,Latch & Positioning,A|C,all,My baby only wants one breast — is that okay?|baby refuses one side|one sided nursing is it normal|baby only latches on one breast|baby won't nurse on left side|nursing on one breast only okay,"One-sided preference is common and usually fine — many moms nurse successfully on a single breast long-term. Your body adjusts supply on that side to meet demand, while the other breast gradually reduces production. Offer the preferred side first each feed, then offer the second; some babies accept it once the edge is off their hunger. A sudden preference that wasn't there before is worth checking with a pediatrician, since ear pain can make one side uncomfortable. To manage the other side in the meantime, hand-express or pump just enough for comfort.",no,,LLLI; ABM Protocol #2,,,,
SUP-001,Supply,A|B|C,1-2,How do I know if I have enough milk?|do I have enough breast milk|is baby getting enough milk|am I making enough milk|how can I tell my supply is ok|worried I don't have enough milk|signs of adequate milk supply,"The most reliable signs of adequate milk are in your baby, not in how much you pump or how your breasts feel. Look for: 6 or more heavy wet diapers per day after day 4-5, at least 3 bowel movements daily in the first month, steady weight gain (back to birth weight by 2 weeks, then 5-7 oz per week), and a baby who seems satisfied after most feeds with alert wakeful periods. Soft breasts after feeds are normal — that's regulation, not low supply. A weighted feed with an IBCLC scale is the gold standard if you want to measure actual transfer.",no,,ABM Protocol #2; AAP breastfeeding policy statement,,,,
SUP-002,Supply,A|B|C,all,How can I increase my milk supply?|how to make more breast milk|boost milk supply fast|my supply is low how to increase it|need more milk supply tips|how do I produce more milk,"Supply runs on removal — more frequent and thorough milk removal is the most effective way to increase it. Specific steps: nurse or pump 8-12 times per day, ensure full emptying each session, add a pumping session after nursing once or twice daily, and try power pumping (on/off cycling for an hour) once a day. Check for latch issues or flange fit problems that may be limiting transfer. Staying hydrated and eating enough calories matters too. Galactagogues like fenugreek have limited and inconsistent evidence. An IBCLC can help identify what's actually driving your situation before you spend energy on the wrong fix.",no,,ABM Protocol #9 (galactagogues); LLLI supply guidance,,,,
